Espece;Code_espece;Date_Capture;capture
acestrorhynchus falcatus;AFAL;10/09/2008;2
acestrorhynchus falcatus;AFAL;14/10/2011;2
acestrorhynchus falcatus;AFAL;13/10/2012;1
acestrorhynchus falcatus;AFAL;09/10/2013;1
acestrorhynchus falcatus;AFAL;13/10/2015;1
acestrorhynchus falcatus;AFAL;27/10/2017;1
acestrorhynchus microlepis;AMIC;10/09/2008;3
acestrorhynchus microlepis;AMIC;27/10/2010;4
acestrorhynchus microlepis;AMIC;14/10/2011;7
acestrorhynchus microlepis;AMIC;13/10/2012;3
acestrorhynchus microlepis;AMIC;09/10/2013;5
acestrorhynchus microlepis;AMIC;30/10/2014;3
acestrorhynchus microlepis;AMIC;13/10/2015;6
acestrorhynchus microlepis;AMIC;27/10/2017;7
ageneiosus inermis;AINE;26/09/2009;4
ageneiosus inermis;AINE;27/10/2010;2
ageneiosus inermis;AINE;14/10/2011;3
ageneiosus inermis;AINE;13/10/2012;2
ageneiosus inermis;AINE;09/10/2013;6
ageneiosus inermis;AINE;30/10/2014;3
ageneiosus inermis;AINE;13/10/2015;16
ageneiosus inermis;AINE;27/10/2017;4
ageneiosus ucayalensis;AUCA;10/09/2008;10
ageneiosus ucayalensis;AUCA;26/09/2009;5
ageneiosus ucayalensis;AUCA;27/10/2010;4
ageneiosus ucayalensis;AUCA;14/10/2011;1
ageneiosus ucayalensis;AUCA;13/10/2012;1
ageneiosus ucayalensis;AUCA;09/10/2013;1
ageneiosus ucayalensis;AUCA;30/10/2014;11
ageneiosus ucayalensis;AUCA;13/10/2015;4
ageneiosus ucayalensis;AUCA;27/10/2017;15
anchovia surinamensis;ASUR;30/10/2014;15
anchovia surinamensis;ASUR;27/10/2017;45
ancistrus aff. temminckii;ATEM AFF;14/10/2011;3
auchenipterus nuchalis;ANUC;10/09/2008;11
auchenipterus nuchalis;ANUC;26/09/2009;2
auchenipterus nuchalis;ANUC;27/10/2010;4
auchenipterus nuchalis;ANUC;14/10/2011;4
auchenipterus nuchalis;ANUC;13/10/2012;1
auchenipterus nuchalis;ANUC;09/10/2013;3
auchenipterus nuchalis;ANUC;30/10/2014;21
auchenipterus nuchalis;ANUC;27/10/2017;8
bivibranchia bimaculata;BBIM;30/10/2014;1
bryconops aff. caudomaculatus;BCAU2;10/09/2008;5
bryconops aff. caudomaculatus;BCAU2;26/09/2009;5
bryconops aff. caudomaculatus;BCAU2;27/10/2010;9
bryconops aff. caudomaculatus;BCAU2;14/10/2011;13
bryconops aff. caudomaculatus;BCAU2;13/10/2012;5
bryconops aff. caudomaculatus;BCAU2;09/10/2013;7
bryconops aff. caudomaculatus;BCAU2;13/10/2015;7
bryconops aff. caudomaculatus;BCAU2;27/10/2017;5
bryconops melanurus;BMEL;14/10/2011;2
bryconops melanurus;BMEL;13/10/2012;4
bryconops melanurus;BMEL;09/10/2013;4
bryconops melanurus;BMEL;13/10/2015;4
characidae sp.;null;10/09/2008;1
charax niger;CHNI;10/09/2008;1
charax niger;CHNI;26/09/2009;2
charax niger;CHNI;14/10/2011;2
charax niger;CHNI;30/10/2014;3
chilodus zunevei;CZUN;26/09/2009;1
chilodus zunevei;CZUN;27/10/2010;1
chilodus zunevei;CZUN;09/10/2013;1
chilodus zunevei;CZUN;13/10/2015;1
curimata cyprinoides;CCYP;10/09/2008;2
curimata cyprinoides;CCYP;26/09/2009;13
curimata cyprinoides;CCYP;27/10/2010;3
curimata cyprinoides;CCYP;14/10/2011;1
curimata cyprinoides;CCYP;13/10/2012;20
curimata cyprinoides;CCYP;09/10/2013;7
curimata cyprinoides;CCYP;30/10/2014;10
curimata cyprinoides;CCYP;13/10/2015;6
curimata cyprinoides;CCYP;27/10/2017;21
cyphocharax aff. spilurus;CYP1;27/10/2017;1
cyphocharax spilurus;CYSP;27/10/2010;4
cyphocharax spilurus;CYSP;14/10/2011;1
cyphocharax spilurus;CYSP;13/10/2012;1
cyphocharax spilurus;CYSP;30/10/2014;2
eigenmannia virescens;EVIR;09/10/2013;1
geophagus camopiensis;GCAM;27/10/2010;1
geophagus camopiensis;GCAM;30/10/2014;1
geophagus camopiensis;GCAM;27/10/2017;3
harttia guianensis;HSUR;27/10/2010;1
harttia guianensis;HSUR;09/10/2013;1
hemiodus aff. unimaculatus;HEUN2;10/09/2008;17
hemiodus aff. unimaculatus;HEUN2;26/09/2009;19
hemiodus aff. unimaculatus;HEUN2;27/10/2010;25
hemiodus aff. unimaculatus;HEUN2;14/10/2011;18
hemiodus aff. unimaculatus;HEUN2;13/10/2012;8
hemiodus aff. unimaculatus;HEUN2;09/10/2013;19
hemiodus aff. unimaculatus;HEUN2;30/10/2014;32
hemiodus aff. unimaculatus;HEUN2;13/10/2015;9
hemiodus aff. unimaculatus;HEUN2;27/10/2017;97
hemiodus quadrimaculatus;HQUA;10/09/2008;1
hemiodus quadrimaculatus;HQUA;14/10/2011;3
hemiodus quadrimaculatus;HQUA;13/10/2012;3
hemiodus quadrimaculatus;HQUA;09/10/2013;4
hemiodus quadrimaculatus;HQUA;30/10/2014;8
hemiodus quadrimaculatus;HQUA;13/10/2015;1
hemiodus quadrimaculatus;HQUA;27/10/2017;15
hoplias aimara;HAIM;27/10/2010;1
hoplias aimara;HAIM;14/10/2011;2
hoplias aimara;HAIM;09/10/2013;1
hoplias aimara;HAIM;30/10/2014;6
hoplias aimara;HAIM;27/10/2017;4
hoplias malabaricus;HMAL;26/09/2009;1
hypostomus gymnorhynchus;HGYM;26/09/2009;1
hypostomus gymnorhynchus;HGYM;14/10/2011;1
hypostomus gymnorhynchus;HGYM;13/10/2012;2
hypostomus gymnorhynchus;HGYM;09/10/2013;1
hypostomus gymnorhynchus;HGYM;30/10/2014;7
hypostomus gymnorhynchus;HGYM;27/10/2017;5
hypostomus plecostomus;HVEN;26/09/2009;1
hypostomus plecostomus;HVEN;14/10/2011;2
hypostomus plecostomus;HVEN;13/10/2012;1
hypostomus plecostomus;HVEN;13/10/2015;1
leporinus acutidens;LACU;26/09/2009;1
leporinus acutidens;LACU;27/10/2010;6
leporinus acutidens;LACU;14/10/2011;4
leporinus acutidens;LACU;13/10/2012;1
leporinus acutidens;LACU;09/10/2013;1
leporinus gossei;LGOS;10/09/2008;2
leporinus gossei;LGOS;26/09/2009;1
leporinus gossei;LGOS;27/10/2017;1
leporinus granti;LGRA;10/09/2008;2
leporinus melanostictus;LMEL;27/10/2010;3
leporinus melanostictus;LMEL;14/10/2011;4
leporinus melanostictus;LMEL;30/10/2014;1
leporinus melanostictus;LMEL;27/10/2017;1
loricaria cataphracta;LCAT;27/10/2010;2
loricaria cataphracta;LCAT;13/10/2015;1
loricaria cataphracta;LCAT;27/10/2017;2
loricaria gr. cataphracta;LGCA;27/10/2010;2
loricaria gr. cataphracta;LGCA;13/10/2015;1
loricaria gr. cataphracta;LGCA;27/10/2017;2
lycengraulis batesii;LBAT;27/10/2010;4
lycengraulis batesii;LBAT;13/10/2012;1
lycengraulis batesii;LBAT;30/10/2014;1
lycengraulis batesii;LBAT;27/10/2017;5
megalops atlanticus;MATL;27/10/2017;2
moenkhausia aff. grandisquamis;MGRA2;10/09/2008;10
moenkhausia aff. grandisquamis;MGRA2;26/09/2009;1
moenkhausia aff. grandisquamis;MGRA2;27/10/2010;4
moenkhausia aff. grandisquamis;MGRA2;14/10/2011;10
moenkhausia aff. grandisquamis;MGRA2;13/10/2012;4
moenkhausia aff. grandisquamis;MGRA2;09/10/2013;7
moenkhausia aff. grandisquamis;MGRA2;30/10/2014;1
moenkhausia aff. grandisquamis;MGRA2;13/10/2015;1
moenkhausia aff. grandisquamis;MGRA2;27/10/2017;1
myloplus rhomboidalis;MRHO;27/10/2010;1
myloplus rhomboidalis;MRHO;13/10/2015;2
myloplus rhomboidalis;MRHO;27/10/2017;1
myloplus ternetzi;MTER;10/09/2008;6
myloplus ternetzi;MTER;26/09/2009;13
myloplus ternetzi;MTER;27/10/2010;3
myloplus ternetzi;MTER;14/10/2011;4
myloplus ternetzi;MTER;13/10/2012;8
myloplus ternetzi;MTER;09/10/2013;9
myloplus ternetzi;MTER;30/10/2014;5
myloplus ternetzi;MTER;13/10/2015;5
myloplus ternetzi;MTER;27/10/2017;22
myloplus tumukumak;MTUM;26/09/2009;1
myloplus tumukumak;MTUM;27/10/2010;1
myloplus tumukumak;MTUM;14/10/2011;1
myloplus tumukumak;MTUM;13/10/2012;1
pachypops fourcroi;PFOU;27/10/2010;1
pachypops fourcroi;PFOU;13/10/2012;1
pachypops fourcroi;PFOU;30/10/2014;2
peckoltia capitulata;PCAP;14/10/2011;1
peckoltia capitulata;PCAP;09/10/2013;1
piabucus dentatus;PDEN;10/09/2008;3
piabucus dentatus;PDEN;26/09/2009;8
piabucus dentatus;PDEN;27/10/2010;8
piabucus dentatus;PDEN;13/10/2012;4
piabucus dentatus;PDEN;09/10/2013;3
piabucus dentatus;PDEN;13/10/2015;1
pimelodella cristata;PCRI;14/10/2011;1
pimelodus blochii;PBLO;13/10/2012;1
pimelodus ornatus;PORN;27/10/2010;1
pimelodus ornatus;PORN;14/10/2011;1
pimelodus ornatus;PORN;30/10/2014;3
pimelodus ornatus;PORN;13/10/2015;2
pimelodus ornatus;PORN;27/10/2017;2
plagioscion squamosissimus;PSQU;10/09/2008;1
plagioscion squamosissimus;PSQU;26/09/2009;2
plagioscion squamosissimus;PSQU;14/10/2011;1
plagioscion squamosissimus;PSQU;13/10/2012;1
plagioscion squamosissimus;PSQU;09/10/2013;1
plagioscion squamosissimus;PSQU;30/10/2014;4
plagioscion squamosissimus;PSQU;13/10/2015;1
plagioscion squamosissimus;PSQU;27/10/2017;1
poptella brevispina;PBRE;10/09/2008;4
poptella brevispina;PBRE;26/09/2009;1
poptella brevispina;PBRE;27/10/2010;5
poptella brevispina;PBRE;14/10/2011;1
poptella brevispina;PBRE;13/10/2012;2
poptella brevispina;PBRE;30/10/2014;5
poptella brevispina;PBRE;13/10/2015;6
pterengraulis atherinoides;PATH;14/10/2011;1
pterengraulis atherinoides;PATH;09/10/2013;1
pterengraulis atherinoides;PATH;30/10/2014;6
pterengraulis atherinoides;PATH;27/10/2017;1
satanoperca rhynchitis;SJUR;27/10/2010;2
satanoperca rhynchitis;SJUR;09/10/2013;2
satanoperca rhynchitis;SJUR;27/10/2017;2
serrasalmus eigenmanni;SHUM;10/09/2008;4
serrasalmus eigenmanni;SHUM;26/09/2009;6
serrasalmus eigenmanni;SHUM;27/10/2010;15
serrasalmus eigenmanni;SHUM;14/10/2011;15
serrasalmus eigenmanni;SHUM;13/10/2012;15
serrasalmus eigenmanni;SHUM;09/10/2013;10
serrasalmus eigenmanni;SHUM;13/10/2015;22
serrasalmus eigenmanni;SHUM;27/10/2017;2
sternopygus macrurus;SMAC;13/10/2012;1
sternopygus macrurus;SMAC;27/10/2017;1
trachelyopterus galeatus;PGAL;26/09/2009;1
trachelyopterus galeatus;PGAL;27/10/2010;2
trachelyopterus galeatus;PGAL;14/10/2011;1
trachelyopterus galeatus;PGAL;13/10/2012;1
